評論者,評分,時間,內容,店家名稱,店家ID
Gemma,5,8 個月前,"寵物友善（需要待在推車內）非常加分👍🏿
蠻好吃的，料很多，性價比還不錯。

手機掃QR Code點餐很方便。
炒麵的麵條非常好吃，大阪燒也還不錯，整體來說調味和日本很像，吃比較淡的可以先註明不要太鹹。",長田本庄軒 信義A11店 日式炒麵餐廳,ChIJLSJ12dmrQjQRAIx6EqF9St0
張智銓,4,7 個月前,"台灣少有的幾家日式鐵板燒,個人喜歡純炒麵>御好燒,而這家以炒麵為主打,Q彈麵條淋上濃郁日式醬汁在鐵板上產生梅納反映滋滋作響,光聽覺與視覺的刺激就讓人食慾大開. 這家的麵條蠻特別的,有點介於烏龍麵與拉麵之間,保有的滑順Q彈,但一咬就斷,牙口不好的老人家應該也很適合吃,個人不吃牛,所以點燉豬肉炒麵,從菜單照片上看以為是有肥肉,沒想到是瘦肉+蒟蒻(以為是豬皮),看來有顧慮到客戶的健康R~XD,有點可惜的是這家沒有賣煎半熟蛋,身為台灣人,炒麵沒有半熟蛋攪和,總覺得好像少了一味.店員非常親切,非常不像百貨公司美食街的制式服務型態,反而很像路邊的居酒屋氣氛.",長田本庄軒 信義A11店 日式炒麵餐廳,ChIJLSJ12dmrQjQRAIx6EqF9St0
王藝儒,5,6 個月前,"Line加入禮是燉蘿蔔 旁邊有牛筋
另外還有五星好評送檸檬沙瓦的活動（但我沒用就是）
口味上其實還不錯 以信義區價格也算合理
需加一成服務費 整體而言動線算流暢
位子旁有水可以自取
豬肉炒麵味道建議要選擇淡一點比較好
裡面有肉 蒟蒻 高麗菜
麵算是有Q但不會到太彈牙的地步
歐姆蛋滿清淡的 還是有蛋香

贈送的加入禮
牛筋軟嫩 旁邊還會有蔥跟蒟蒻

整體而言還不錯 日式風味很濃了",長田本庄軒 信義A11店 日式炒麵餐廳,ChIJLSJ12dmrQjQRAIx6EqF9St0
Wenwen,5,7 個月前,第一次來吃，有事先看評論，一個人坐吧臺，用QRcode點餐，服務員會問需不要熱麥茶，桌上有放冰開水，今天點了經典大阪燒加點一個荷包蛋，有收服務費$340，檸檬沙瓦是google評論送的，有含酒精，桌上有醬料可以自己加，我是第一次吃大阪燒，不清楚道不道地，偏重口味，牛肉是滷的切丁狀有筋有肉。,長田本庄軒 信義A11店 日式炒麵餐廳,ChIJLSJ12dmrQjQRAIx6EqF9St0
Mia,5,8 個月前,"餐點好吃，想吃清淡點也可以特別跟服務生說，店家都很樂意為客戶做適度的調整。

服務員的態度也很好，不是很喜歡吃麵的我，我跟他們說想要在外面另外帶一碗白飯進來，他們也歡迎。

很喜歡店家的氣氛，彷彿會覺得來到了日本，不能去日本的人來這吃吃日式的炒麵，看著師父在板前做料理，感覺好療瘉，心情也會變很好喔",長田本庄軒 信義A11店 日式炒麵餐廳,ChIJLSJ12dmrQjQRAIx6EqF9St0
惠慶玲,5,7 個月前,"入座快、上菜快，服務態度很好很周到
大阪燒好吃，看師傅當場煎很有氣氛
魚介沾麵也很好吃，醬料裡面還有肉，麵條也棒
A11美食街用餐首選",長田本庄軒 信義A11店 日式炒麵餐廳,ChIJLSJ12dmrQjQRAIx6EqF9St0
阿白,5,6 個月前,"大阪燒很普通 不推
五顆星給歐姆蛋炒麵
蛋跟麵都非常好吃",長田本庄軒 信義A11店 日式炒麵餐廳,ChIJLSJ12dmrQjQRAIx6EqF9St0
Penny Ku的私人頻道,4,10 個月前,"週六下午經過，感覺很有日式的氛圍
等了大概十幾分鐘即帶入用餐
入會禮燉蘿蔔個人很喜歡，滷的不會太鹹
旁邊還有牛肉牛筋搭配
歐姆蛋炒麵吃起來也相當不錯
歐姆蛋在製作的過程覺得很厲害
大阪燒的部分，個人覺得醬有點太鹹
還好有冰開水可以飲用
一個人平均消費2百多～3百多左右
價錢不算是非常便宜，不過整體感覺不錯
沒有吃過的朋友可以來品嚐看看",長田本庄軒 信義A11店 日式炒麵餐廳,ChIJLSJ12dmrQjQRAIx6EqF9St0
wen liaw,4,9 個月前,"點了人氣很高的歐姆蛋炒麵
歐姆蛋超好吃的非常的鮮嫩好吃
炒麵是店裡招牌啊，自製麵條吃起來很Q彈 搭配魯的很軟的肉。入口即化 雖然價格小貴 但很好吃",長田本庄軒 信義A11店 日式炒麵餐廳,ChIJLSJ12dmrQjQRAIx6EqF9St0
阿JO西,5,1 年前,"日本神戶名店的牛筋雜煮在百貨地下街！

是丸龜製麵的旗下品牌，在台北信義區A11地下街開店，從店裝、吧台到氣氛都彷彿置身日本當地，跟之前在台灣吃過的大阪燒店不同的地方在，這間主打來自神戶的Bokkake牛筋雜煮，不過當天沒有點招牌牛肉餐點，美味度依舊沒讓人失望。

✏️燉煮豬肉大阪燒 279元
豬肉不是夾在麵糊裡一起製作，是在最後淋上大阪燒，麵糊+高麗菜本身中規中矩，份量目測偏小一點，厲害的是淋上的豬肉醬汁很開胃，主要是切丁的豬肉+蒟蒻丁，肥瘦各半的鹹香豬肉，以及有點微微辛辣的調味很喜歡，推薦一定要加入美乃滋品嚐！

✏️番茄雞肉炒麵 249元
很喜歡偏粗、吸附滿滿醬汁的麵條，番茄切大塊、配上雞肉塊拌炒，料量海還行，本來以為會太酸，結果鹹度、酸甜調味很平衡，當然整體是很下酒的重口味，份量比大阪燒大，正常女生食量會飽，看菜單可以另外加點歐姆蛋、荷包蛋，下次試試。

✏️環境、服務
內用、外用分開取號碼牌等待電腦、店員叫號，可以選擇外用在美食街座位區用餐，即使選擇在店內內用也沒有限時、無低消，平日中午幾乎不用候位，櫃台小姐人很親切，很積極幫忙安排座位，鐵板師傅也很nice 會幫忙確認餐點，整體用餐氛圍很愜意！",長田本庄軒 信義A11店 日式炒麵餐廳,ChIJLSJ12dmrQjQRAIx6EqF9St0
Im AS,4,11 個月前,"餐廳位子分有一般座位跟吧台
一般座位較為舒適 吧台則是很有氣氛
現點現做 熱鬧侷促的環境 是頗有日本氛圍

招牌牛筋炒麵很推薦
日式炒麵醬加上美乃滋 覺得道地

燉煮豬肉大阪燒味道不錯 屬於標準水準
若是跟炒麵比起來 比較普通

雖然有店面 但實際是位在美食街
工作人員態度是親切有禮的
只是人潮不斷加上用餐環境略微擁擠
所以也談不上什麼服務
快速 方便 候位不會太久 有經過可以試試

2024/3/28 二訪依舊推薦
明太子馬鈴薯鬆軟可口 味道不錯
歐姆蛋牛筋炒麵份量十分飽足 偏重口 好吃
煎餃普通 可點可不點",長田本庄軒 信義A11店 日式炒麵餐廳,ChIJLSJ12dmrQjQRAIx6EqF9St0
無比比,5,8 個月前,"日式炒麵跟大阪燒店
丸龜製麵旗下的新品牌

大致上就是可以想像的日式炒麵
不過有超乎預期
蠻好吃的，尤其是歐姆蛋，我覺得必加
大阪燒就差不多，可以點兒童size的嚐鮮

價格上，感覺會比較高一點
丸龜比較棒

位於新光A11 B2",長田本庄軒 信義A11店 日式炒麵餐廳,ChIJLSJ12dmrQjQRAIx6EqF9St0
Isa Hsu,4,1 年前,"裝潢感覺很有日本氣氛～
大阪燒有加紅薑，個人比較不喜歡😅
除此之外，料挺多的
這家的大阪燒是基底相同，topping則看客人選什麼來增加，
本來以為大阪燒的溫度是燙的，結果上來時確是溫溫的感覺，和期待比較不一樣～
牛筋非常非常好吃，蒟蒻也很Q

套餐附的沙拉和味增湯都還不錯

下次再來嘗試炒麵

有一位師傅是日本人，增添日本氛圍",長田本庄軒 信義A11店 日式炒麵餐廳,ChIJLSJ12dmrQjQRAIx6EqF9St0
Rina Chen,5,1 年前,"一入座就有親切的いらっしゃいませ招呼！感覺超像來到日本🤣師傅是日本人，服務也都非常棒～
這次點歐姆蛋炒麵和海鮮炒麵，歐姆蛋超好吃！炒麵本身偏鹹～～海鮮炒麵的話奶油香味很濃郁！
餐點就還不錯，主要是氣氛很好！",長田本庄軒 信義A11店 日式炒麵餐廳,ChIJLSJ12dmrQjQRAIx6EqF9St0
吳富源,5,1 年前,"炒麵：
很特別比台灣炒麵粗一倍直徑，麵吃起來比較軟Q，口感很特別，麵內吃的到有加美乃滋和烏醋，配上牛肉角和蒟蒻，味道還不錯。

大阪燒：
高麗菜很脆，內麵糊軟Q,調配的醬汁不錯甜微酸，一些醬油味。

老實說個人沒有很愛吃大阪燒，所以評論僅供參考。

豆芽歐姆蛋：
這個蠻推的，蛋內軟滑嫩。",長田本庄軒 信義A11店 日式炒麵餐廳,ChIJLSJ12dmrQjQRAIx6EqF9St0
鄭人豪,5,6 個月前,麵很好吃，麵跟湯汁結合很好，魷魚很Q彈。如果覺得太鹹可以吃蒸籠時蔬搭配。,長田本庄軒 信義A11店 日式炒麵餐廳,ChIJLSJ12dmrQjQRAIx6EqF9St0
Chen Eileen,5,5 個月前,炒麵真的很好吃，光是看那個自製麵的煮麵過程，感覺就很用心製作的麵，坐在吧台看師傅炒麵，感覺每一根炒麵都很用心的被炒，口味好吃 很值得推薦,長田本庄軒 信義A11店 日式炒麵餐廳,ChIJLSJ12dmrQjQRAIx6EqF9St0
胡鈞甯,5,5 個月前,"單點90牛筋燉煮（有雷誤踩
只有一些小碎肉 跟2、3小塊筋
跟一堆蒟蒻塊
大阪燒必加歐姆蛋 推推👍🏽",長田本庄軒 信義A11店 日式炒麵餐廳,ChIJLSJ12dmrQjQRAIx6EqF9St0
Alex青鳥（鶄）,5,1 年前,"豬肉炒麵+歐姆蛋 超讚！！ 此生吃到最好吃的炒麵~
大阪燒也很好吃~ 只是相對來說比較沒那麼驚豔
話說居然還有歐姆蛋+荷包蛋的點法",長田本庄軒 信義A11店 日式炒麵餐廳,ChIJLSJ12dmrQjQRAIx6EqF9St0
Grace,5,1 年前,"道地日本口味的台灣店😍😍😍
推薦喜歡吃日本美食的朋友來，不用遠赴日本就可以吃到正統的大阪燒和日式炒麵喔😋😋😋
坐在鐵板前面的位子可以看到師傅煮食的動作，感覺很療癒，食材的份量都給得很足，覺得這一點很棒，和在日本一樣提供的都是冰開水，可以告訴店家不要加冰。
假日用餐時間建議提早到先抽號碼牌，不然人多的時候會等很久。

還有，雖然店內的師傅看起來都很帥氣，不過全都已婚，這是重點🤭🤭",長田本庄軒 信義A11店 日式炒麵餐廳,ChIJLSJ12dmrQjQRAIx6EqF9St0
yi,4,5 個月前,"炒麵味道很不錯, 但比較油膩些. 服務好 推薦.",長田本庄軒 信義A11店 日式炒麵餐廳,ChIJLSJ12dmrQjQRAIx6EqF9St0
鍾宜如,5,11 個月前,"逛信義區意外尋找到，店舖偏小，若尖峰用餐時間可能需要候位一陣子，剛好是在非尖峰時間用餐，很快就輪到我們進入，被安排坐在吧檯的位置，近距離欣賞師傅的功力。
個人覺得炒麵比大阪燒好吃很多，麵體Q彈配上軟嫩的牛筋，份量也蠻足夠。
大阪燒可以嘗試，但個人覺得就普普，也是能吃得飽～",長田本庄軒 信義A11店 日式炒麵餐廳,ChIJLSJ12dmrQjQRAIx6EqF9St0
Chen Jason,4,9 個月前,"歐姆蛋很好吃
中間的半熟蛋液非常多

炒麵略粗有嚼勁

牛筋普通
混入許多蒟蒻

味道主要是醬油和美乃滋

要加一成服務費
價位偏高",長田本庄軒 信義A11店 日式炒麵餐廳,ChIJLSJ12dmrQjQRAIx6EqF9St0
邦尼魚,4,3 個月前,"大阪燒推推～
愛美奶滋的一定要加🤩",長田本庄軒 信義A11店 日式炒麵餐廳,ChIJLSJ12dmrQjQRAIx6EqF9St0
Janice Kuo,4,11 個月前,"在美食街能吃到鐵板現煎的大阪燒真幸福！

分成大阪燒跟炒麵🔥
（不是加在一起的那種 是分開的ㄛ）
兩種的份量都蠻大份，可以吃很飽

有加價點歐姆蛋，軟嫩可口
#燉煮豬肉 是肥肉與瘦肉相間
淋在大阪燒或炒麵上
座位有日式美乃滋等等醬料可以自助加

但當天用餐覺得資深員工在指導新進員工的音量真的很大，不知是否刻意？
身為顧客聽了覺得很尷尬⋯🥹",長田本庄軒 信義A11店 日式炒麵餐廳,ChIJLSJ12dmrQjQRAIx6EqF9St0
吳小蚋,5,9 個月前,炒麵分量有點少。但麵很好吃。大阪燒看起來也小小份，不過吃很飽。,長田本庄軒 信義A11店 日式炒麵餐廳,ChIJLSJ12dmrQjQRAIx6EqF9St0
邸舍,5,6 個月前,"服務很好！
寵物友善👍🏻
炒麵跟大阪燒超優❤️
上面的牛筋雜煮超軟嫩很好吃😋",長田本庄軒 信義A11店 日式炒麵餐廳,ChIJLSJ12dmrQjQRAIx6EqF9St0
Charlotte Sun,5,4 個月前,服務很懇切，麵條有Q勁好吃，歐姆蛋也不錯,長田本庄軒 信義A11店 日式炒麵餐廳,ChIJLSJ12dmrQjQRAIx6EqF9St0
Eddie Lin,1,8 個月前,"202406291850
服務生說兩人可以坐四人座，
就把四人座給兩人，那我們四人以上是在排心酸的嗎？
===== ===== ===== =====

好吃，但炒麵稍鹹
麵q香氣夠
經典炒麵建議加海苔粉美乃滋，
弄成大阪燒味道很搭！

加line送燉蘿蔔",長田本庄軒 信義A11店 日式炒麵餐廳,ChIJLSJ12dmrQjQRAIx6EqF9St0
ゆうな,5,8 個月前,"二訪吃了 歐姆蛋炒麵 這個很讚！蛋超滑嫩

蠻有特色 不錯吃 店面乾淨油煙味不會太重 中午休息吃也可以",長田本庄軒 信義A11店 日式炒麵餐廳,ChIJLSJ12dmrQjQRAIx6EqF9St0
Tzu Liu,4,6 個月前,非常推薦吃大阪燒，第一吃就覺得很驚艷，份量上一個人可以吃飽的那種，但是炒麵的部分個人比較不推薦，麵體口感偏硬，歐姆蛋吃起來比較普通～下次會再回訪嘗試看看其他的口味👍,長田本庄軒 信義A11店 日式炒麵餐廳,ChIJLSJ12dmrQjQRAIx6EqF9St0
Shao Chien簡紹謙,3,7 個月前,"第一次來當然是吃Bokkake經典炒麵
整體來說好吃不像日本口味的鹹度
比較浪我在意的是煎擡沒完全清潔乾淨
只用刮刀刮過就煮下一到菜
感覺在煮的這道菜會混到上一道的殘渣",長田本庄軒 信義A11店 日式炒麵餐廳,ChIJLSJ12dmrQjQRAIx6EqF9St0
恒毅Peter Chen,3,1 年前,"炒麵屬於偏甜口味,吃的有點膩沒有吃完,個人比較不喜歡
燉煮豬肉大阪燒普通,但加蒟蒻口感變的很特別
燉蘿蔔有入味還不錯,但肉太柴太老不優
排隊不用排很久",長田本庄軒 信義A11店 日式炒麵餐廳,ChIJLSJ12dmrQjQRAIx6EqF9St0
陳奕婷,5,9 個月前,"環境不錯👍
位置很多
服務人員很好👍
歐姆蛋有滿滿的三顆
ㄧ盤炒麵可以吃很飽
師傅現點現做讓我覺得很不錯👌",長田本庄軒 信義A11店 日式炒麵餐廳,ChIJLSJ12dmrQjQRAIx6EqF9St0
簡均羽,5,7 個月前,"餐點普遍偏重口味，麵條很勁道，
評論有贈送一杯沙瓦，若排隊人潮不多下次會再來吃炒麵。",長田本庄軒 信義A11店 日式炒麵餐廳,ChIJLSJ12dmrQjQRAIx6EqF9St0
Doris Chu,5,1 年前,"台北信義｜長田本庄軒 炒麵專賣店

* 招牌牛筋雜煮Bokkake炒麵：牛筋燉得好入味鹹甜香味，搭配專屬炒麵醬料，讓人忍不住想要再來一份。 炒麵過程也很療癒，麵條在鐵板上的旋轉拌炒，師傅們很專注的眼神和專業動作，也是一種美食饗宴。
* 燉煮豬肉大阪燒：一道讓人吃過就念念不忘的日式大阪燒，好扎實，好道地啊！

昨日晚上時段用餐人少眾多，目前分為內用（抽號碼牌）和外帶（不用抽號碼牌，直接點餐），如不想等內用座位，建議可以直接點餐然後在美食街座位用餐。

整個用餐氛圍很棒，彷彿到了日本用餐，當天主廚給我印象超深刻，掌握整個餐檯進度，除了適時招呼客人，也會親自上陣指揮。也看到他對待一位理直氣壯的客人非常親切客氣，讓我印象深刻，日本職人精神，當下都想為他打抱不平。

一間值得再訪的餐廳，推薦大家去吃看看。",長田本庄軒 信義A11店 日式炒麵餐廳,ChIJLSJ12dmrQjQRAIx6EqF9St0
レグ茶,5,6 個月前,除了煎台每次炒麵完會有很濃的燒焦味除外，一切體驗都很新穎,長田本庄軒 信義A11店 日式炒麵餐廳,ChIJLSJ12dmrQjQRAIx6EqF9St0
Taiwanpretty CHAN,4,8 個月前,"歐姆蛋炒麵讚！
歐姆蛋經典，扎實好吃、乾淨俐落功夫了得。
炒麵Q彈有勁，佳作。
燉蘿蔔贈品，有誠意的好吃。
氛圍好，有日本味。看大家的樣子，好像狠少雷。會再訪。",長田本庄軒 信義A11店 日式炒麵餐廳,ChIJLSJ12dmrQjQRAIx6EqF9St0
Kiky Chen,4,11 個月前,"在百貨公司美食街的日本名店。招牌應該是炒麵，但是因為想吃多一點青菜所以點了大阪燒。生意很好，用餐時間需排隊。但是因為在美食街裡面，所以也可以外帶在美食街的座位吃。

1-2人可以在鐵板前食用很道地。桌上的醬料也很齊全。口味可能沒有日本當地這麼到位。可是突然很想吃日式炒麵跟大阪燒的時候是個還可以接受的選擇！",長田本庄軒 信義A11店 日式炒麵餐廳,ChIJLSJ12dmrQjQRAIx6EqF9St0
林政宇,4,6 個月前,"炒麵和大阪燒都不錯

店員友善

如果內用沒位子可以選到美食街的座位，還可以少服務費。很貼心",長田本庄軒 信義A11店 日式炒麵餐廳,ChIJLSJ12dmrQjQRAIx6EqF9St0
Charlie Chao,5,10 個月前,除了有炒麵，還有大阪燒可以點。點了一份豬肉的大阪燒後，覺得滿好吃的；餐廳是採掃碼點餐的方式；可以請他們做口味淡一點；加Line後可以獲得一個好友禮：醃蘿蔔，可以在本次現場兌換。,長田本庄軒 信義A11店 日式炒麵餐廳,ChIJLSJ12dmrQjQRAIx6EqF9St0
Sasa Cheng,1,11 個月前,加入Line的好友卷商品（煮蘿蔔），還會算服務費，第一次遇到，店員都沒有事先告知。點餐系統還出現問題。蘿蔔非常的鹹，牛筋不好咬,長田本庄軒 信義A11店 日式炒麵餐廳,ChIJLSJ12dmrQjQRAIx6EqF9St0
